Time,Mean,StDev,SEM,Group
0.0,0.06430000066757202,0.07599999755620956,0.0219,4
0.333,0.07329998910427094,0.07320000231266022,0.0211,4
0.667,0.0885000079870224,0.07190000265836716,0.0208,4
1.0,0.10849998891353607,0.07159999758005142,0.0207,4
1.333,0.1232999861240387,0.06830000132322311,0.0197,4
1.667,0.13760000467300415,0.065700002014637,0.019,4
2.0,0.1543000042438507,0.06449999660253525,0.0186,4
2.333,0.16330000758171082,0.06239999830722809,0.018,4
2.667,0.16610001027584076,0.06239999830722809,0.018,4
3.0,0.16679999232292175,0.06129999831318855,0.0177,4
0.0,0.08630000054836273,0.09390000253915787,0.0271,22b
0.333,0.11139999330043793,0.09449999779462814,0.0273,22b
0.667,0.131400004029274,0.09290000051259995,0.0268,22b
1.0,0.16110001504421234,0.09319999814033508,0.0269,22b
1.333,0.18540000915527344,0.09139999747276306,0.0264,22b
1.667,0.2037000060081482,0.0868000015616417,0.0251,22b
2.0,0.21459999680519104,0.08370000123977661,0.0242,22b
2.333,0.2190999984741211,0.08299999684095383,0.024,22b
2.667,0.22270001471042633,0.08100000023841858,0.0234,22b
3.0,0.22710001468658447,0.07940000295639038,0.0229,22b
0.0,0.06679999828338623,0.08100000023841858,0.0234,21
0.333,0.06539998948574066,0.07890000194311142,0.0228,21
0.667,0.06700000166893005,0.07739999890327454,0.0223,21
1.0,0.08079999685287476,0.07760000228881836,0.0224,21
1.333,0.08660000562667847,0.07599999755620956,0.0219,21
1.667,0.08579999208450317,0.0771000012755394,0.0223,21
2.0,0.06949999928474426,0.08060000091791153,0.0233,21
2.333,0.058799996972084045,0.08209999650716782,0.0237,21
2.667,0.051100000739097595,0.08089999854564667,0.0234,21
3.0,0.04530000686645508,0.0835999995470047,0.0241,21
0.0,0.05329999327659607,0.05719999969005585,0.0165,Negative
0.333,0.0754999965429306,0.05339999869465828,0.0154,Negative
0.667,0.10099999606609344,0.05270000174641609,0.0152,Negative
1.0,0.13130001723766327,0.05079999938607216,0.0147,Negative
